id,x,y
1,1612000,4840750.05
2,1612000,4840822.98
3,1612000,4841034.67
4,1612000,4842045.27
5,1612006.972,4841050.13
6,1612009.96,4841020.74
7,1612015.235,4842391.37
8,1612016.851,4842080.704
9,1612017.575,4842329.049
10,1612017.71,4842253.15
11,1612018.29,4841035.17
12,1612022.17,4841047.319
13,1612022.206,4840761.156
14,1612023.73,4841007.84
15,1612024.016,4842389.205
16,1612024.629,4842332.974
17,1612025.031,4842388.955
18,1612027.049,4842348.256
19,1612029.828,4840676.76
20,1612030.101,4842345.073
21,1612035.75,4842396.22
22,1612038.624,4842362.014
23,1612041.51,4841057.51
24,1612046.235,4842347.848
25,1612046.607,4842338.77
26,1612056.069,4840647.072
27,1612057.707,4841075.927
28,1612058.054,4842345.829
29,1612058.609,4841197.611
30,1612059.309,4840638.341
31,1612061.14,4841486.35
32,1612063.46,4842100.05
33,1612063.849,4841770.02
34,1612069.826,4842325.625
35,1612070.224,4842294.204
36,1612070.38,4841075.96
37,1612073.36,4841068.32
38,1612074.318,4841160.459
39,1612075.53,4840756.79
40,1612076.19,4841061.05
41,1612082.89,4842283.87
42,1612083.826,4842298.42
43,1612085.78,4842277.18
44,1612087.12,4841085.8
45,1612090.71,4840894.02
46,1612091.11,4842269.65
47,1612093.23,4840896.33
48,1612093.631,4840610.032
49,1612094.04,4841096.4
50,1612098.31,4840879.72
51,1612100.45,4840097.79
52,1612102.396,4841157.493
53,1612102.98,4841061.35
54,1612104.11,4840877.66
55,1612105.647,4840044.173
56,1612105.86,4841861.98
57,1612106.39,4840184.83
58,1612106.906,4840714.611
59,1612109.213,4841211.219
60,1612113.93,4840652.54
61,1612115,4842452.79
62,1612115.017,4840890.966
63,1612117.943,4840688.21
64,1612119.76,4840806.61
65,1612119.88,4840235.37
66,1612121.432,4840621.526
67,1612123.1,4840312.73
68,1612123.16,4841371.66
69,1612123.58,4841347.55
70,1612124.996,4840726.823
71,1612127.69,4842177.07
72,1612131.58,4841401.98
73,1612134.34,4840751.9
74,1612134.95,4840918.86
75,1612136.333,4840914.72
76,1612136.67,4841933.68
77,1612138.98,4842140.96
78,1612139.12,4840356.92
79,1612139.811,4840718.227
80,1612141.08,4840900.944
81,1612141.21,4840704.71
82,1612141.49,4840295.52
83,1612145.2,4841076.86
84,1612150.98,4840293.45
85,1612151.92,4840931.77
86,1612152.67,4840926.87
87,1612153.88,4841449.28
88,1612154.55,4840693.43
89,1612154.93,4842282.52
90,1612155.496,4842380.272
91,1612162.355,4842157.928
92,1612163.45,4842373.908
93,1612165.22,4842068.192
94,1612165.556,4842407.897
95,1612165.63,4842038.4
96,1612165.65,4842045.65
97,1612166.495,4842336.224
98,1612169.003,4840580.531
99,1612171.895,4842234.26
100,1612173.03,4842169.159
101,1612173.896,4842258.671
102,1612174.83,4840687.96
103,1612175.424,4842373.585
104,1612177.11,4840035.597
105,1612177.23,4841323.02
106,1612177.23,4842391.12
107,1612179.172,4842278.557
108,1612179.65,4840601.037
109,1612183.04,4840168.52
110,1612183.2,4840621.149
111,1612184.301,4842209.848
112,1612184.579,4840911.8
113,1612186.58,4840447.34
114,1612188.04,4840956.32
115,1612190.74,4840952.55
116,1612190.996,4842046.832
117,1612193.505,4842175.832
118,1612194.628,4840902.827
119,1612197.658,4840914.608
120,1612199.861,4842130.44
121,1612202.234,4842027.851
122,1612202.82,4841533.55
123,1612203.04,4840874.32
124,1612205.11,4842157.424
125,1612207.8,4840875.11
126,1612207.91,4840307.39
127,1612215.08,4841263.14
128,1612215.142,4840621.938
129,1612215.81,4842109.41
130,1612216.458,4842070.816
131,1612220.418,4840718.915
132,1612221.86,4841594.43
133,1612223.429,4842022.228
134,1612224.596,4840742.939
135,1612225.06,4840820.71
136,1612225.52,4842045.396
137,1612228.39,4841285.18
138,1612231.64,4841656.41
139,1612231.734,4842022.228
140,1612232.34,4842040.136
141,1612234.36,4841722.73
142,1612237.13,4841133
143,1612238.71,4841355.23
144,1612239.246,4842043.458
145,1612239.52,4841406.16
146,1612240,4840758.97
147,1612240.25,4840308.85
148,1612240.621,4840929.415
149,1612248.88,4840169.72
150,1612249.418,4842316.908
151,1612257.984,4840950.563
152,1612259.79,4840009.894
153,1612259.902,4840615.037
154,1612261.67,4840955.61
155,1612263.76,4840926.46
156,1612268.13,4841402.81
157,1612269.366,4840647.374
158,1612269.394,4841009.781
159,1612269.99,4841197.03
160,1612275.143,4842237.461
161,1612280,4840022.414
162,1612282.88,4841247.75
163,1612284.268,4842255.71
164,1612292.03,4841516.81
165,1612293.68,4840969.38
166,1612294.91,4840965.61
167,1612294.95,4841174.99
168,1612302.001,4842217.879
169,1612306.04,4840937.82
170,1612309.741,4842134.674
171,1612315.87,4840896.97
172,1612316.91,4840892.77
173,1612346.022,4842041.31
174,1612346.989,4842098.877
175,1612348.637,4842133.197
176,1612349.408,4842155.959
177,1612353.37,4840985.8
178,1612356.09,4841223.22
179,1612360.857,4840558.644
180,1612362.373,4840826.941
181,1612363.089,4840805.33
182,1612363.425,4840002.37
183,1612366.51,4841332.95
184,1612369.23,4841309.03
185,1612376.28,4840125.68
